epoch,timestamp,train_loss,val_loss,val_acc,lr,activation_rate,energy_savings,samples_processed,total_samples
1,1763125596,0.9174403849102202,0.0,71.30952380952381,0.0003,0.09375,89.71874999999999,3360,3360
2,1763125651,0.8012998600800832,0.0,87.85714285714286,0.0003,0.09375,89.71875,3360,3360
3,1763125706,0.8469637472147479,0.0,88.80952380952381,0.0003,0.09494047619047619,89.67946428571433,3360,3360
4,1763125762,0.654873288346923,0.0,95.71428571428571,0.0003,0.1431547619047619,88.46651785714292,3360,3360
5,1763125817,0.7883973313882985,0.0,96.78571428571429,0.0003,0.11875,88.22196428571435,3360,3360
6,1763125872,0.7271203561712897,0.0,97.14285714285714,0.0003,0.10297619047619047,88.31919642857147,3360,3360
7,1763125928,0.642260551384756,0.0,97.5,0.0003,0.10208333333333333,88.40127551020413,3360,3360
8,1763125982,0.7056983132415808,0.0,97.38095238095238,0.0003,0.09553571428571428,88.54386160714292,3360,3360
9,1763126036,0.7338450955445296,0.0,97.73809523809524,0.0003,0.09523809523809523,88.65803571428576,3360,3360
10,1763126091,0.7793450627501443,0.0,98.0952380952381,0.0003,0.09523809523809523,88.74937500000006,3360,3360
11,1763126146,0.7962586376932814,0.0,97.61904761904762,0.0003,0.09494047619047619,88.82678571428578,3360,3360
12,1763126201,0.7232531044499151,0.0,97.26190476190476,0.0003,0.09375,88.90111607142865,3360,3360
13,1763126256,0.5635798100958271,0.0,95.35714285714286,0.0003,0.09404761904761905,88.9617445054946,3360,3360
14,1763126310,0.5749440229824991,0.0,96.78571428571429,0.0003,0.09404761904761905,89.01371173469396,3360,3360
15,1763126365,0.529647873938371,0.0,96.78571428571429,0.0003,0.09404761904761905,89.05875000000009,3360,3360
16,1763126419,0.45809119255071995,0.0,98.0952380952381,0.0003,0.09404761904761905,89.09815848214294,3360,3360
17,1763126473,0.4002539626167466,0.0,97.61904761904762,0.0003,0.09375,89.13466386554629,3360,3360
18,1763126528,0.4210277788884317,0.0,97.73809523809524,0.0003,0.09375,89.16711309523818,3360,3360
19,1763126583,0.3885453085400513,0.0,97.85714285714286,0.0003,0.09375,89.19614661654145,3360,3360
20,1763126637,0.6010262658187587,0.0,98.21428571428571,0.0003,0.09375,89.22227678571437,3360,3360
21,1763126692,0.4053994377675865,0.0,97.38095238095238,0.0003,0.09375,89.24591836734703,3360,3360
22,1763126746,0.3970173492828118,0.0,98.33333333333333,0.0003,0.09375,89.26741071428582,3360,3360
23,1763126800,0.35263710501686935,0.0,97.97619047619048,0.0003,0.09375,89.28703416149074,3360,3360
24,1763126854,0.363438001081037,0.0,98.21428571428571,0.0003,0.09375,89.30502232142851,3360,3360
25,1763126908,0.5061474294520331,0.0,95.5952380952381,0.0003,0.09404761904761905,89.32039285714269,3360,3360
26,1763126963,0.44013130536539913,0.0,98.57142857142857,0.0003,0.09375,89.33571428571403,3360,3360
27,1763127018,0.3616862392777372,0.0,97.02380952380952,0.0003,0.09375,89.34990079365043,3360,3360
28,1763127072,0.45136256727453744,0.0,98.92857142857143,0.0003,0.09375,89.3630739795914,3360,3360
29,1763127127,0.4971562888445554,0.0,84.76190476190476,0.0003,0.09375,89.37533866995022,3360,3360
30,1763127182,0.3267709210959202,0.0,98.57142857142857,0.0003,0.09375,89.38678571428512,3360,3360
31,1763127236,0.32132466026385026,0.0,98.33333333333333,0.0003,0.09375,89.39749423963067,3360,3360
32,1763127290,0.31886346835443485,0.0,96.9047619047619,0.0003,0.09375,89.40753348214213,3360,3360
33,1763127344,0.3858661305146857,0.0,96.42857142857143,0.0003,0.09375,89.41696428571349,3360,3360
34,1763127399,0.3607366241671289,0.0,99.16666666666667,0.0003,0.09375,89.4258403361336,3360,3360
35,1763127454,0.28207567157417845,0.0,97.5,0.0003,0.09375,89.43420918367258,3360,3360
36,1763127509,0.26581086033173573,0.0,99.16666666666667,0.0003,0.09375,89.44211309523715,3360,3360
37,1763127564,0.3291050962218183,0.0,98.80952380952381,0.0003,0.09375,89.44958976833877,3360,3360
38,1763127618,0.24259638231416744,0.0,97.5,0.0003,0.09375,89.45667293232978,3360,3360
39,1763127673,0.30308870009852584,0.0,98.92857142857143,0.0003,0.09375,89.46339285714177,3360,3360
40,1763127726,0.29212313106557036,0.0,98.92857142857143,0.0003,0.09375,89.46977678571317,3360,3360
41,1763127781,0.24896012381917293,0.0,99.28571428571429,0.0003,0.09375,89.47584930313472,3360,3360
42,1763127835,0.22024139689538205,0.0,97.73809523809524,0.0003,0.09375,89.48163265306003,3360,3360
43,1763127890,0.2134400456126088,0.0,99.28571428571429,0.0003,0.09375,89.48714700996554,3360,3360
44,1763127945,0.3039541052901077,0.0,98.45238095238095,0.0003,0.09375,89.49241071428445,3360,3360
45,1763128000,0.25223047395156983,0.0,98.33333333333333,0.0003,0.09404761904761905,89.49678571428441,3360,3360
46,1763128054,0.31821824416691696,0.0,99.28571428571429,0.0003,0.09375,89.50161102484338,3360,3360
47,1763128109,0.18446585381925562,0.0,99.28571428571429,0.0003,0.09375,89.50623100303814,3360,3360
48,1763128162,0.35330376675935,0.0,96.54761904761905,0.0003,0.09375,89.51065848214147,3360,3360
49,1763128217,0.17741978314328055,0.0,98.45238095238095,0.0003,0.09375,89.514905247812,3360,3360
50,1763128272,0.3081307946311766,0.0,98.0952380952381,0.0003,0.09375,89.51898214285569,3360,3360
